"Band_mom","FamilyID_mom","clutch_id_ind1","Brood_ind1","num.mates","num.clutches","num.chicks"
"2640-97347","MakeBelieve-26","Make Believe_34_1","1",2,1,5
"2640-97370","Cooks-23","Cook's_22_1","1",3,1,5
"2640-97385","MakeBelieve-69","Make Believe_14_1","1",1,1,3
"2640-97596","MakeBelieve-20","Make Believe_70_1","1",1,1,5
"2850-57550","Cathys-03","Mary Ann's_1_2","1",1,1,4
"2850-57551","Struthers-20","Struther's_20_1","1",2,1,4
"2850-57553","Schaaps-108","Schaap's_32_1","1",2,1,3
"2850-57556","Schaaps-80","Schaap's_59_1","1",1,1,4
"2850-57558","Cooks-31","Hepp (near Cook)_1_1","1",2,1,2
"2850-57603","Schaaps-54","Schaap's_33_2","1",2,1,3
"2850-57609","Cooks-24","Cook's_6_1","1",1,1,4
"2850-57610","BlueCloud-14","Blue Cloud_22_2","1",1,1,5
"2850-57612","BlueCloud-09","Blue Cloud_21_1","1",2,1,5
