nest,Band_female,Mate.Band_1,color_date.x,B_avg.bright.x,color_date.y,B_avg.bright.y,mass
mb26,2640-97347,2850-57836,05_20_21,28.52182951,05_20_21,19.50506979,18.1
co23,2640-97370,2850-57505,06_01_21,26.03038219,07_12_21,22.38608342,19.33
mb69,2640-97385,2850-57518,06_07_21,25.30787803,06_05_21,19.70544367,20.4
ca03,2850-57550,2850-57549,05_26_21,30.57395314,05_26_21,16.83124958,18
st20,2850-57551,2850-57552,06_03_21,28.12707876,06_03_21,22.48016284,20.3
sc108,2850-57553,2850-57607,06_04_21,34.41601196,06_04_21,23.11714357,18.47
sc80,2850-57556,2850-57538,06_19_21,20.31147225,06_19_21,17.0660668,20.9
co31,2850-57558,2850-57633,06_08_21,22.18986374,07_22_21,23.20193254,20.4
bc14,2850-57610,2850-57614,06_18_21,24.4113443,06_23_21,23.36988036,18.01
bc09,2850-57612,2850-57901,07_17_21,25.88971918,06_23_21,40.56644899,19.18
co27,2850-57853,2850-57912,06_01_21,25.65625789,07_08_21,39.37240611,18.8
