"band","first_date","first_year","index","adult.nestl","est.age","site_2021","certainty"
"2350-21085","2019-05-31",2019,2,"M",3,"Make Believe","good"
"2350-21096","2019-06-17",2019,2,"F",3,"Golden Grizzly","good"
"2510-63484","2018-05-29",2018,4,"F",4,"Van Loon","good"
"2510-63488","2018-05-30",2018,3,"M",4,"Make Believe","good"
"2600-54932","2014-06-13",2014,4,"M?",8,"Cargill","good"
"2640-97347","2019-05-31",2019,2,"F",3,"Make Believe","good"
"2640-97370","2019-06-19",2019,3,"F",3,"Cooks","good"
"2640-97375","2019-06-28",2019,2,"M",3,"Hoops","good"
"2640-97385","2020-07-06",2020,2,"F",2,"Make Believe","good"
"2640-97390","2020-07-07",2020,2,"F",2,"Golden Grizzly","good"
"2640-97518","2018-06-16",2018,4,"F",4,"Colorado Horse Rescue","good"
"2640-97544","2019-06-24",2019,2,"F",3,"Baseline","good"
"2640-97548","2019-06-28",2019,3,"M",3,"Blue Cloud","good"
"2640-97553","2019-06-29",2019,2,"F",3,"Baseline","good"
"2640-97596","2020-06-12",2020,2,"F",2,"Make Believe","good"
"2811-06912","2020-06-19",2020,2,NA,1,"Schaap","exact"
"2811-38691","2019-08-07",2019,2,NA,2,"Cathys","exact"
"2811-38772","2019-08-16",2019,3,NA,2,"Golden Grizzly","exact"
"2811-38779","2019-08-17",2019,2,NA,2,"Golden Grizzly","exact"
"2811-38984","2020-06-17",2020,2,NA,1,"Colorado Horse Rescue","exact"
"2811-82916","2020-06-18",2020,2,NA,1,"Make Believe","exact"
"2811-82968","2021-07-13",2021,1,"unknown",0,"Schaap","exact"
"2811-83409","2021-08-12",2021,1,"unknown",0,"Colorado Horse Rescue","exact"
"2811-83410","2021-08-12",2021,1,"unknown",0,"Colorado Horse Rescue","exact"
"2811-83411","2021-08-12",2021,1,"unknown",0,"Colorado Horse Rescue","exact"
"2811-83412","2021-08-12",2021,1,"unknown",0,"Colorado Horse Rescue","exact"
"2850-57432","2019-06-14",2019,3,"M",3,"Colorado Horse Rescue","good"
"2850-57438","2019-05-30",2019,3,"F",3,"Cargill","good"
"2850-57473","2019-06-14",2019,3,"M",3,"Van Loon","good"
"2850-57482","2019-06-17",2019,3,"F",3,"Golden Grizzly","good"
"2850-57495","2020-05-25",2020,2,"M",2,"Cargill","good"
"2850-57496","2020-05-30",2020,2,"M",2,"Colorado Horse Rescue","good"
"2850-57505","2020-06-11",2020,2,"M",2,"Cooks","good"
"2850-57518","2020-07-06",2020,2,"M",2,"Make Believe","good"
"2850-57519","2020-07-07",2020,2,"F",2,"Golden Grizzly","good"
"2850-57520","2020-07-07",2020,2,"F",2,"Golden Grizzly","good"
"2850-57526","2020-07-20",2020,2,"F",2,"Golden Grizzly","good"
"2850-57538","2020-07-28",2020,2,"M",2,"Schaap","good"
"2850-57546","2020-07-28",2020,2,"M",2,"Schaap","good"
"2850-57548","2021-05-13",2021,1,"M",1,"Cargill","good"
"2850-57549","2021-05-26",2021,1,"M",1,"Cathys","low"
"2850-57550","2021-05-26",2021,1,"F",1,"Cathys","low"
"2850-57551","2021-06-03",2021,1,"F",1,"Struthers","good"
"2850-57552","2021-06-03",2021,1,"M",1,"Struthers","good"
"2850-57553","2021-06-04",2021,1,"F",1,"Schaap","good"
"2850-57554","2021-06-04",2021,1,"M",1,"Schaap","good"
"2850-57555","2021-06-05",2021,1,"F",1,"Reinarz","low"
"2850-57556","2021-06-05",2021,1,"F",1,"Schaap","good"
"2850-57557","2021-06-08",2021,1,"M",1,"Cooks","good"
"2850-57558","2021-06-08",2021,1,"F",1,"Cooks","good"
"2850-57559","2021-06-13",2021,1,"F",1,"Schaap","good"
"2850-57560","2021-06-18",2021,1,"M",1,"Golden Grizzly","good"
"2850-57561","2021-06-19",2021,1,"F",1,"Schaap","good"
"2850-57562","2021-06-19",2021,1,"M",1,"Schaap","good"
"2850-57563","2021-06-19",2021,1,"M",1,"Schaap","good"
"2850-57564","2021-06-21",2021,1,"F",1,"Blue Cloud","good"
"2850-57565","2021-06-21",2021,1,"M",1,"Blue Cloud","good"
"2850-57566","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57567","2021-08-12",2021,1,"M",1,"Colorado Horse Rescue","good"
"2850-57568","2021-08-12",2021,1,"F",1,"Colorado Horse Rescue","good"
"2850-57570","2021-08-12",2021,1,"M",1,"Colorado Horse Rescue","good"
