"clutch_id_ind1","Band_dad","Band_mom","Site_dad","Site_ind1","FamilyID_dad","FamilyID_mom","Brood_ind1","fert","fert_type","clutch_size"
"Blue Cloud_21_1","2850-57901","2850-57612","Blue Cloud","Blue Cloud","BlueCloud-09","BlueCloud-09","1",2,"wp",5
"Blue Cloud_21_1",NA,"2850-57612",NA,"Blue Cloud",NA,"BlueCloud-09","1",3,"dad_unk",5
"Blue Cloud_22_2","2850-57614","2850-57610","Blue Cloud","Blue Cloud","BlueCloud-14","BlueCloud-14","1",5,"wp",5
"BlueCloud-09_egg",NA,"2850-57612",NA,"Blue Cloud",NA,"BlueCloud-09","collected",5,"dad_unk",5
"BlueCloud-14_egg","2850-57565","2850-57610","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-14","collected",3,"ep_same",4
"BlueCloud-14_egg","2850-57614","2850-57610","Blue Cloud","Blue Cloud","BlueCloud-14","BlueCloud-14","collected",1,"wp",4
"Cathys-03_egg","2850-57549","2850-57550","Cathy's","Cathy's","Cathys-03","Cathys-03","collected",4,"wp",4
"Cook's_22_1","2850-57505","2640-97370","Cooks","Cooks","Cooks-23","Cooks-23","1",1,"wp",5
"Cook's_22_1",NA,"2640-97370",NA,"Cooks",NA,"Cooks-23","1",4,"dad_unk",5
"Cook's_29_2","2850-57912","2850-57853","Cooks","Cooks","Cooks-27","Cooks-27","2",1,"wp",4
"Cook's_29_2",NA,"2850-57853",NA,"Cooks",NA,"Cooks-27","2",3,"dad_unk",4
"Cook's_32_2","2850-57505","2640-97370","Cooks","Cooks","Cooks-23","Cooks-23","2",4,"wp",4
"Cook's_33_2","2850-57557","2850-57609","Cooks","Cooks","Cooks-24","Cooks-24","2",4,"wp",4
"Cook's_6_1","2850-57557","2850-57609","Cooks","Cooks","Cooks-24","Cooks-24","1",4,"wp",4
"Cooks-23_egg","2850-57505","2640-97370","Cooks","Cooks","Cooks-23","Cooks-23","collected",5,"wp",5
"Cooks-24_egg","2850-57557","2850-57609","Cooks","Cooks","Cooks-24","Cooks-24","collected",5,"wp",5
"Cooks-27_egg","2850-57505","2850-57853","Cooks","Cooks","Cooks-23","Cooks-27","collected",1,"ep_same",4
"Cooks-27_egg",NA,"2850-57853",NA,"Cooks",NA,"Cooks-27","collected",3,"dad_unk",4
"Cooks-31_egg","2850-57633","2850-57558","Cooks","Cooks","Cooks-31","Cooks-31","collected",3,"wp",4
"Cooks-31_egg",NA,"2850-57558",NA,"Cooks",NA,"Cooks-31","collected",1,"dad_unk",4
"Hepp (near Cook)_1_1","2850-57505","2850-57558","Cooks","Hepp (near Cook)","Cooks-23","Cooks-31","1",1,"ep_diff",2
