"genetic_fam","Band_dad","Band_mom","Site_dad","Site_ind1","FamilyID_dad","FamilyID_mom","fert","fert_type"
"2350-21085_2640-97596","2350-21085","2640-97596","Make Believe","Make Believe","MakeBelieve-20","MakeBelieve-20",5,"wp"
"2510-63488_2640-97596","2510-63488","2640-97596","Make Believe","Make Believe","MakeBelieve-17","MakeBelieve-20",2,"ep_same"
"2640-97548_2640-97385","2640-97548","2640-97385","Blue Cloud","Make Believe","BlueCloud-18","MakeBelieve-69",3,"ep_diff"
"2640-97548_2850-57551","2640-97548","2850-57551","Blue Cloud","Struthers","BlueCloud-18","Struthers-20",2,"ep_diff"
"2811-06912_2850-57603","2811-06912","2850-57603","Schaaps","Schaaps","Schaaps-54","Schaaps-54",2,"wp"
"2850-57505_2640-97370","2850-57505","2640-97370","Cooks","Cooks","Cooks-23","Cooks-23",10,"wp"
"2850-57505_2850-57558","2850-57505","2850-57558","Cooks","Hepp (near Cook)","Cooks-23","Cooks-31",1,"ep_diff"
"2850-57505_2850-57853","2850-57505","2850-57853","Cooks","Cooks","Cooks-23","Cooks-27",1,"ep_same"
"2850-57518_2640-97347","2850-57518","2640-97347","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-26",3,"ep_same"
"2850-57518_2640-97385","2850-57518","2640-97385","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-69",5,"wp"
"2850-57518_2640-97596","2850-57518","2640-97596","Make Believe","Make Believe","MakeBelieve-69","MakeBelieve-20",1,"ep_same"
"2850-57538_2850-57556","2850-57538","2850-57556","Schaaps","Schaaps","Schaaps-80","Schaaps-80",5,"wp"
"2850-57549_2850-57550","2850-57549","2850-57550","Cathy's","Cathy's","Cathys-03","Cathys-03",8,"wp"
"2850-57552_2850-57551","2850-57552","2850-57551","Struthers","Struthers","Struthers-20","Struthers-20",11,"wp"
"2850-57557_2850-57609","2850-57557","2850-57609","Cooks","Cooks","Cooks-24","Cooks-24",13,"wp"
"2850-57565_2850-57610","2850-57565","2850-57610","Blue Cloud","Blue Cloud","BlueCloud-19","BlueCloud-14",3,"ep_same"
"2850-57607_2850-57553","2850-57607","2850-57553","Schaaps","Schaaps","Schaaps-108","Schaaps-108",10,"wp"
"2850-57614_2850-57610","2850-57614","2850-57610","Blue Cloud","Blue Cloud","BlueCloud-14","BlueCloud-14",6,"wp"
"2850-57615_2850-57608","2850-57615","2850-57608","Urban Farm Girlz","Urban Farm Girlz","UrbanFarm-02","UrbanFarm-02",4,"wp"
"2850-57619_2850-57555","2850-57619","2850-57555","Reinarz","Reinarz","Reinarz-01","Reinarz-01",5,"wp"
"2850-57633_2850-57558","2850-57633","2850-57558","Cooks","Cooks","Cooks-31","Cooks-31",3,"wp"
"2850-57701_2850-57553","2850-57701","2850-57553","Schaaps","Schaaps","Schaaps-110","Schaaps-108",1,"ep_same"
"2850-57701_2850-57556","2850-57701","2850-57556","Schaaps","Schaaps","Schaaps-110","Schaaps-80",5,"ep_same"
"2850-57836_2640-97347","2850-57836","2640-97347","Make Believe","Make Believe","MakeBelieve-26","MakeBelieve-26",10,"wp"
"2850-57901_2850-57612","2850-57901","2850-57612","Blue Cloud","Blue Cloud","BlueCloud-09","BlueCloud-09",2,"wp"
"2850-57912_2850-57853","2850-57912","2850-57853","Cooks","Cooks","Cooks-27","Cooks-27",1,"wp"
"NA_2640-97370",NA,"2640-97370",NA,"Cooks",NA,"Cooks-23",4,"dad_unk"
"NA_2850-57553",NA,"2850-57553",NA,"Schaaps",NA,"Schaaps-108",1,"dad_unk"
"NA_2850-57556",NA,"2850-57556",NA,"Schaaps",NA,"Schaaps-80",2,"dad_unk"
"NA_2850-57558",NA,"2850-57558",NA,"Cooks",NA,"Cooks-31",1,"dad_unk"
"NA_2850-57558",NA,"2850-57558",NA,"Hepp (near Cook)",NA,"Cooks-31",1,"dad_unk"
"NA_2850-57603",NA,"2850-57603",NA,"Schaaps",NA,"Schaaps-54",5,"dad_unk"
"NA_2850-57612",NA,"2850-57612",NA,"Blue Cloud",NA,"BlueCloud-09",8,"dad_unk"
"NA_2850-57853",NA,"2850-57853",NA,"Cooks",NA,"Cooks-27",6,"dad_unk"
