"","Ind1","genetic_fam","Band_ind1","Site_ind1","Type_ind1","FamilyID_ind1","Nest_ind1","Brood_ind1","clutch_id_ind1","SeqID_mom","k0_hat_mom","k1_hat_mom","k2_hat_mom","pi_HAT_mom","nbSNP_mom","Band_mom","Site_mom","Type_mom","FamilyID_mom","SeqID_dad","k0_hat_dad","k1_hat_dad","k2_hat_dad","pi_HAT_dad","nbSNP_dad","Band_dad","Site_dad","Type_dad","FamilyID_dad"
"1","CO_34129","2850-57836_2640-97347","2881-34129","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","CO_97347",0.322,0.566,0.112,0.395,59540,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.329,0.567,0.104,0.388,59973,"2850-57836","Make Believe","dad","MakeBelieve-26"
"2","CO_34130","2850-57836_2640-97347","2881-34130","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","CO_97347",0.275,0.636,0.089,0.407,66842,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.306,0.604,0.09,0.392,67230,"2850-57836","Make Believe","dad","MakeBelieve-26"
"3","CO_34131","2850-57836_2640-97347","2881-34131","Make Believe","kid","MakeBelieve-26",38,"2","Make Believe_38_2","CO_97347",0.302,0.608,0.09,0.394,61073,"2640-97347","Make Believe","mom","MakeBelieve-26","CO_57836",0.322,0.565,0.113,0.396,61481,"2850-57836","Make Believe","dad","MakeBelieve-26"
"4","CO_39031","2850-57557_2850-57609","2811-39031","Cooks","kid","Cooks-24",6,"1","Cook's_6_1","CO_57609",0.381,0.452,0.167,0.393,46893,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.387,0.434,0.18,0.397,48587,"2850-57557","Cooks","dad","Cooks-24"
"5","CO_39032","2850-57557_2850-57609","2811-39032","Cooks","kid","Cooks-24",6,"1","Cook's_6_1","CO_57609",0.313,0.592,0.095,0.391,55775,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.308,0.588,0.104,0.398,57750,"2850-57557","Cooks","dad","Cooks-24"
"6","CO_39033","2850-57557_2850-57609","2811-39033","Cooks","kid","Cooks-24",6,"1","Cook's_6_1","CO_57609",0.298,0.604,0.099,0.401,59862,"2850-57609","Cooks","mom","Cooks-24","CO_57557",0.327,0.567,0.106,0.389,62038,"2850-57557","Cooks","dad","Cooks-24"
"7","CO_39038","2850-57538_2850-57556","2811-39038","Schaaps","kid","Schaaps-80",59,"1","Schaap's_59_1","CO_57556",0.303,0.585,0.112,0.405,62320,"2850-57556","Schaaps","mom","Schaaps-80","CO_57538",0.266,0.64,0.094,0.414,52718,"2850-57538","Schaaps","dad","Schaaps-80"
"8","CO_39039","2850-57538_2850-57556","2811-39039","Schaaps","kid","Schaaps-80",59,"1","Schaap's_59_1","CO_57556",0.312,0.57,0.118,0.403,61654,"2850-57556","Schaaps","mom","Schaaps-80","CO_57538",0.341,0.486,0.174,0.417,52175,"2850-57538","Schaaps","dad","Schaaps-80"
"9","CO_39040","2850-57538_2850-57556","2811-39040","Schaaps","kid","Schaaps-80",59,"1","Schaap's_59_1","CO_57556",0.289,0.618,0.093,0.402,65099,"2850-57556","Schaaps","mom","Schaaps-80","CO_57538",0.289,0.615,0.096,0.404,55082,"2850-57538","Schaaps","dad","Schaaps-80"
"10","CO_39041","2850-57538_2850-57556","2811-39041","Schaaps","kid","Schaaps-80",59,"1","Schaap's_59_1","CO_57556",0.279,0.639,0.082,0.401,64785,"2850-57556","Schaaps","mom","Schaaps-80","CO_57538",0.339,0.524,0.137,0.399,54947,"2850-57538","Schaaps","dad","Schaaps-80"
