Year,Band,Site,Sex,Type,FamilyID,Tissue,Seq.ID,Nest,Brood,clutch_id
2021,2811-83404,Blue Cloud,,kid,BlueCloud-09,blood,CO-83404,21,1,Blue Cloud_21_1
2021,2811-83405,Blue Cloud,,kid,BlueCloud-09,blood,CO-83405,21,1,Blue Cloud_21_1
2021,2811-83406,Blue Cloud,,kid,BlueCloud-09,blood,CO-83406,21,1,Blue Cloud_21_1
2021,2811-83407,Blue Cloud,,kid,BlueCloud-09,blood,CO-83407,21,1,Blue Cloud_21_1
2021,2811-83408,Blue Cloud,,kid,BlueCloud-09,blood,CO-83408,21,1,Blue Cloud_21_1
2021,2811-82979,Blue Cloud,,kid,BlueCloud-14,blood,CO-82979,22,1,Blue Cloud_22_2
2021,2811-82980,Blue Cloud,,kid,BlueCloud-14,blood,CO-82980,22,1,Blue Cloud_22_2
2021,2811-82981,Blue Cloud,,kid,BlueCloud-14,blood,CO-82981,22,1,Blue Cloud_22_2
2021,2811-82982,Blue Cloud,,kid,BlueCloud-14,blood,CO-82982,22,1,Blue Cloud_22_2
2021,2811-82983,Blue Cloud,,kid,BlueCloud-14,blood,CO-82983,22,1,Blue Cloud_22_2
2021,E29,Blue Cloud,,egg,BlueCloud-09,egg,CO-E29,NA,collected,BlueCloud-09_egg
2021,E30,Blue Cloud,,egg,BlueCloud-09,egg,CO-E30,NA,collected,BlueCloud-09_egg
2021,E31,Blue Cloud,,egg,BlueCloud-09,egg,CO-E31,NA,collected,BlueCloud-09_egg
2021,E32,Blue Cloud,,egg,BlueCloud-09,egg,CO-E32,NA,collected,BlueCloud-09_egg
2021,E33,Blue Cloud,,egg,BlueCloud-09,egg,CO-E33,NA,collected,BlueCloud-09_egg
2021,E48,Blue Cloud,,egg,BlueCloud-14,egg,CO-E48,NA,collected,BlueCloud-14_egg
2021,E49,Blue Cloud,,egg,BlueCloud-14,egg,CO-E49,NA,collected,BlueCloud-14_egg
2021,E50,Blue Cloud,,egg,BlueCloud-14,egg,CO-E50,NA,collected,BlueCloud-14_egg
2021,E51,Blue Cloud,,egg,BlueCloud-14,egg,CO-E51,NA,collected,BlueCloud-14_egg
2021,E34,Cathy's,,egg,Cathys-03,egg,CO-E34,NA,collected,Cathys-03_egg
2021,E35,Cathy's,,egg,Cathys-03,egg,CO-E35,NA,collected,Cathys-03_egg
2021,E36,Cathy's,,egg,Cathys-03,egg,CO-E36,NA,collected,Cathys-03_egg
2021,E37,Cathy's,,egg,Cathys-03,egg,CO-E37,NA,collected,Cathys-03_egg
2021,2811-82969,Cooks,,kid,Cooks-23,blood,CO-82969,22,1,Cook's_22_1
2021,2811-82970,Cooks,,kid,Cooks-23,blood,CO-82970,22,1,Cook's_22_1
2021,2811-82971,Cooks,,kid,Cooks-23,blood,CO-82971,22,1,Cook's_22_1
2021,2811-82972,Cooks,,kid,Cooks-23,blood,CO-82972,22,1,Cook's_22_1
2021,2811-82973,Cooks,,kid,Cooks-23,blood,CO-82973,22,1,Cook's_22_1
2021,2811-83214,Cooks,,kid,Cooks-27,blood,CO-83214,29,2,Cook's_29_2
