"prob_50","prob_55","prob_60","prob_65","prob_70","prob_75","prob_80","prob_85","prob_90","prob_95","bird"
" 36.94411"," 43.78561"," 53.36371"," 62.94182"," 73.88822"," 87.57122","103.99083","125.88363","155.98624","210.71826","bc09"
" 17.43797"," 21.46212"," 26.82765"," 32.19318"," 38.90009"," 49.63115"," 65.72774"," 91.21401","130.11411","193.15909","ca03"
" 117.6289"," 138.3869"," 166.0643"," 193.7417"," 235.2577"," 283.6931"," 366.7253"," 518.9509"," 795.7246","1259.3207","co31"
" 53.98750"," 61.34944"," 69.52936"," 78.52728"," 89.16118","100.61308","115.33694","133.33278","158.69054","202.86214","sc108"
" 94.50539","108.68120","127.58228","151.20863","179.56024","212.63713","250.43929","307.14252","382.74683","510.32911","sc80"
"12.09808","14.11443","16.53404","19.76020","23.38962","29.03540","35.89097","45.97271","60.49041","83.47676","st20"
"10.24676","12.10981","14.90438","17.69895","21.42505","27.01419","33.53486","43.78162","58.68600","88.49477","bc14"
"14.51413","17.00227","19.90509","23.22261","26.54012","30.68702","36.07798","42.71301","52.66556","73.40003","co23"
" 7.516997"," 8.590854"," 9.664711","11.812424","15.033994","17.181708","20.403278","25.772562","37.584986","56.914407","co27"
" 8.348268","10.163109","11.977950","14.155759","17.059504","20.689186","26.133709","33.756040","46.096958","67.512080","mb26"
" 8.017311"," 9.353530","11.135154","13.362185","16.925434","21.824902","29.396807","39.641149","54.339553","81.509329","mb69"
