"nest","track.days","mean.points","sd.points","mean.past.50m","sd.past.50m","mean.past.100m","sd.past.100m","mean.max.dist","sd.max.dist","daily.mean.dist","daily.mean.dist.sd"
"bc09",9,7.88888888888889,2.14734978778752,0.918470418470418,0.165396860647249,0.705707872374539,0.17339138170346,981.918880214883,270.798442899944,414.992166570804,119.300430088472
"bc14",8,8,2.50713268211203,0.732986111111111,0.191418850028895,0.565277777777778,0.298921488751461,610.373955191066,416.764294568056,195.798001622807,77.9568121029067
"ca03",11,11.6363636363636,0.924416277737175,0.914600550964187,0.126816050681331,0.884297520661157,0.15702449132444,761.985781930841,463.661390830128,320.792819120788,156.724628691983
"co23",9,10.7777777777778,2.94863433549236,0.972222222222222,0.0833333333333333,0.684343434343434,0.233960932828519,479.183305831645,246.508254806106,244.070244554574,114.154457756251
"co27",9,10.6666666666667,3.64005494464026,0.990740740740741,0.0277777777777778,0.470538720538721,0.264269215079955,510.107662823038,489.211582821,196.40116791509,195.985694635388
"co31",8,9.625,3.11390888939105,1,0,0.9875,0.0353553390593274,1460.33516996507,1713.27270443976,695.277009253688,704.773785749288
"mb26",7,10.7142857142857,1.25356634105602,0.972222222222222,0.0481125224324688,0.552669552669553,0.1580481873502,784.233655665358,417.491388334604,204.004971074727,51.0231262496097
"mb69",10,11.5,1.08012344973464,1,0,0.364444444444444,0.0918936583472681,764.415964860812,318.657473029927,212.243409361886,69.9297994549529
"sc108",7,10.2857142857143,0.755928946018454,0.847763347763348,0.120797149215608,0.817604617604618,0.103234525833337,1269.09842292512,186.662677898915,607.976957978584,58.4071703398756
"sc80",10,11,2.49443825784929,0.90530303030303,0.0961753290027376,0.762878787878788,0.122678940476702,1762.15482078386,868.686741487325,698.96471450821,202.346504464568
"st20",7,8.71428571428571,2.9277002188456,0.727092352092352,0.232762481585147,0.679076479076479,0.284959966236462,546.509657201284,308.34432028974,217.450305552912,100.819530821924
