"","Index","Status","Sats","RTC.date","RTC.time","FIX.date","FIX.time","Delta.s.","Latitude","Longitude","Altitude.m.","HDOP","eRes","Temperature.C.","Voltage.V.","site","nest","year","FIX.date2","firstfix","trackday","fewpoints","barn_lat","barn_long","distance","close50","close100"
"1",2,"Valid","8/8","21/06/09","13:00:11","21/06/09","13:00:02.008",-8.992,40.1353,-105.17957,1533.4,1.2,1.2,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,394.380116657084,FALSE,FALSE
"2",3,"Valid","6/6","21/06/09","13:10:09","21/06/09","13:10:00.625",-8.375,40.13268,-105.17785,1547.58,1.5,1.3,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,84.2797424513437,FALSE,TRUE
"3",5,"Valid","8/8","21/06/09","13:30:06","21/06/09","13:29:57.583",-8.417,40.13306,-105.17769,1531.71,1.6,1.3,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,128.509635915636,FALSE,FALSE
"4",6,"Valid","7/7","21/06/09","13:40:10","21/06/09","13:40:01.565",-8.435,40.13297,-105.17781,1540.1,1.6,0.8,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,116.49526923859,FALSE,FALSE
"5",7,"Valid","8/8","21/06/09","13:50:08","21/06/09","13:49:59.537",-8.463,40.13261,-105.17789,1528.33,1.3,1.4,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,75.9602167575489,FALSE,TRUE
"6",8,"Valid","6/6","21/06/09","14:00:11","21/06/09","14:00:02.606",-8.394,40.13279,-105.17791,1530.8,1.7,0.7,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,95.3616453129232,FALSE,TRUE
"7",9,"Valid","5/5","21/06/09","14:10:09","21/06/09","14:10:00.497",-8.503,40.13265,-105.17788,1531.14,1.6,1.8,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,80.4823328775406,FALSE,TRUE
"8",10,"Valid","8/8","21/06/09","14:20:04","21/06/09","14:19:55.476",-8.524,40.13309,-105.17776,1529.01,1.3,0.9,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,130.397475913104,FALSE,FALSE
"9",11,"Valid","7/7","21/06/09","14:30:04","21/06/09","14:29:55.453",-8.547,40.13715,-105.18008,1529.66,1.4,0.6,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,603.334021229104,FALSE,FALSE
"10",12,"Valid","9/9","21/06/09","14:40:04","21/06/09","14:39:55.428",-8.572,40.13343,-105.17999,1536.22,1.5,0.9,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,232.70091312558,FALSE,FALSE
"11",13,"Valid","8/8","21/06/09","14:50:09","21/06/09","14:50:00.408",-8.592,40.13386,-105.17762,1537.21,1.4,0.8,0,0,"MakeBelieve","mb26",2021,"2021-06-09",0,"mb26-06-09",FALSE,40.13194,-105.17807,216.613706215913,FALSE,FALSE
"12",14,"Valid","8/8","21/06/10","13:00:04","21/06/10","12:59:52.588",-11.412,40.13369,-105.17907,1533.52,1.3,1,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,212.184334307931,FALSE,FALSE
"13",15,"Valid","4/4","21/06/10","13:10:11","21/06/10","13:09:59.007",-11.993,40.13261,-105.17783,1533.52,3.9,0.3,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,77.1557274277337,FALSE,TRUE
"14",17,"Valid","5/5","21/06/10","13:30:11","21/06/10","13:29:59.000",-12,40.1326,-105.17787,1535.11,1.7,1.1,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,75.2408237719298,FALSE,TRUE
"15",18,"Valid","7/7","21/06/10","13:40:05","21/06/10","13:39:53.503",-11.497,40.13294,-105.17772,1535.43,2.1,1.1,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,114.974282522721,FALSE,FALSE
"16",19,"Valid","8/8","21/06/10","13:50:04","21/06/10","13:49:52.476",-11.524,40.13309,-105.17773,1533.82,1.4,1.1,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,130.939481867695,FALSE,FALSE
"17",20,"Valid","9/9","21/06/10","14:00:10","21/06/10","13:59:58.451",-11.549,40.13304,-105.17755,1537.64,1.3,1.6,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,129.932908838327,FALSE,FALSE
"18",21,"Valid","9/9","21/06/10","14:10:07","21/06/10","14:09:55.435",-11.565,40.13481,-105.17917,1533.59,1.4,0.9,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,332.180643551108,FALSE,FALSE
"19",22,"Valid","9/9","21/06/10","14:20:04","21/06/10","14:19:52.409",-11.591,40.13311,-105.17763,1541.32,1.2,2.2,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,135.217638484289,FALSE,FALSE
"20",23,"Valid","6/6","21/06/10","14:30:05","21/06/10","14:29:53.385",-11.615,40.13267,-105.17788,1539.65,1.8,0.9,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,82.6588675190196,FALSE,TRUE
"21",24,"Valid","9/9","21/06/10","14:40:04","21/06/10","14:39:52.367",-11.633,40.13311,-105.17773,1524.07,1.2,2.5,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,133.106067384075,FALSE,FALSE
"22",25,"Valid","7/7","21/06/10","14:50:04","21/06/10","14:49:52.341",-11.659,40.13263,-105.17794,1547.96,2.3,2.8,0,0,"MakeBelieve","mb26",2021,"2021-06-10",0,"mb26-06-10",FALSE,40.13194,-105.17807,77.4126532418424,FALSE,TRUE
"23",27,"Valid","8/8","21/06/11","13:10:10","21/06/11","13:09:55.492",-14.508,40.13264,-105.17785,1536.55,1.9,2.7,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,79.9556757926466,FALSE,TRUE
"24",28,"Valid","8/8","21/06/11","13:20:09","21/06/11","13:19:54.492",-14.508,40.13257,-105.17789,1545.11,1.1,0.9,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,71.6158739855559,FALSE,TRUE
"25",29,"Valid","8/8","21/06/11","13:30:05","21/06/11","13:29:50.456",-14.544,40.13626,-105.17973,1536.84,1.5,0.8,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,500.109102530887,FALSE,FALSE
"26",30,"Valid","9/9","21/06/11","13:40:05","21/06/11","13:39:50.433",-14.567,40.13453,-105.17925,1531.58,1,1.1,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,304.663666076407,FALSE,FALSE
"27",31,"Valid","9/9","21/06/11","13:50:10","21/06/11","13:49:55.409",-14.591,40.13305,-105.18011,1529.52,1.2,0.6,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,213.12054970501,FALSE,FALSE
"28",32,"Valid","9/9","21/06/11","14:00:11","21/06/11","13:59:56.383",-14.617,40.13299,-105.17766,1535.81,1.2,1.4,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,121.713057633789,FALSE,FALSE
"29",33,"Valid","8/8","21/06/11","14:10:05","21/06/11","14:09:50.366",-14.634,40.13311,-105.17761,1539.55,1.3,1.1,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,135.700258088782,FALSE,FALSE
"30",34,"Valid","8/8","21/06/11","14:20:05","21/06/11","14:19:50.339",-14.661,40.13301,-105.17768,1536.29,1.5,0.7,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,123.371819556409,FALSE,FALSE
"31",35,"Valid","8/8","21/06/11","14:30:05","21/06/11","14:29:50.320",-14.68,40.13713,-105.18069,1534.86,1.3,0.9,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,618.030500497357,FALSE,FALSE
"32",36,"Valid","8/8","21/06/11","14:40:06","21/06/11","14:39:51.296",-14.704,40.1344,-105.181,1534.64,1.8,0.8,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,370.095199998917,FALSE,FALSE
"33",37,"Valid","9/9","21/06/11","14:50:05","21/06/11","14:49:50.278",-14.722,40.13439,-105.18124,1534.42,1.1,0.8,0,0,"MakeBelieve","mb26",2021,"2021-06-11",0,"mb26-06-11",FALSE,40.13194,-105.17807,383.404821010348,FALSE,FALSE
"34",38,"Valid","6/6","21/06/12","13:00:11","21/06/12","12:59:53.362",-17.638,40.13282,-105.17785,1528.04,1.9,3.1,0,0,"MakeBelieve","mb26",2021,"2021-06-12",0,"mb26-06-12",FALSE,40.13194,-105.17807,99.4954743814749,FALSE,TRUE
"35",40,"Valid","3/3","21/06/12","13:20:11","21/06/12","13:19:53.310",-17.69,40.13242,-105.17787,1528.04,1.8,0,0,0,"MakeBelieve","mb26",2021,"2021-06-12",0,"mb26-06-12",FALSE,40.13194,-105.17807,55.9572984316081,FALSE,TRUE
"36",42,"Valid","9/9","21/06/12","13:40:09","21/06/12","13:39:51.238",-17.762,40.13308,-105.17771,1538.12,1.2,0.5,0,0,"MakeBelieve","mb26",2021,"2021-06-12",0,"mb26-06-12",FALSE,40.13194,-105.17807,130.247851313748,FALSE,FALSE
"37",43,"Valid","8/8","21/06/12","13:50:05","21/06/12","13:49:47.253",-17.747,40.1331,-105.17773,1534.46,1.4,0.9,0,0,"MakeBelieve","mb26",2021,"2021-06-12",0,"mb26-06-12",FALSE,40.13194,-105.17807,132.022549654062,FALSE,FALSE
"38",44,"Valid","7/7","21/06/12","14:00:05","21/06/12","13:59:47.230",-17.77,40.13267,-105.17775,1530.74,3.2,0.8,0,0,"MakeBelieve","mb26",2021,"2021-06-12",0,"mb26-06-12",FALSE,40.13194,-105.17807,85.5224437243237,FALSE,TRUE
"39",45,"Valid","9/9","21/06/12","14:10:11","21/06/12","14:09:53.198",-17.802,40.13281,-105.17783,1539.12,1.2,1.3,0,0,"MakeBelieve","mb26",2021,"2021-06-12",0,"mb26-06-12",FALSE,40.13194,-105.17807,98.7441933350689,FALSE,TRUE
"40",46,"Valid","6/6","21/06/12","14:20:07","21/06/12","14:19:49.179",-17.821,40.13263,-105.17787,1538.32,1.5,1,0,0,"MakeBelieve","mb26",2021,"2021-06-12",0,"mb26-06-12",FALSE,40.13194,-105.17807,78.4889563294343,FALSE,TRUE
"41",47,"Valid","9/9","21/06/12","14:30:05","21/06/12","14:29:47.161",-17.839,40.13288,-105.17766,1536.51,1.2,1,0,0,"MakeBelieve","mb26",2021,"2021-06-12",0,"mb26-06-12",FALSE,40.13194,-105.17807,110.069051966029,FALSE,FALSE
"42",48,"Valid","8/9","21/06/12","14:40:05","21/06/12","14:39:47.139",-17.861,40.13712,-105.18821,1548.01,1.4,1.2,0,0,"MakeBelieve","mb26",2021,"2021-06-12",0,"mb26-06-12",FALSE,40.13194,-105.17807,1038.10001584956,FALSE,FALSE
"43",50,"Valid","8/8","21/06/13","13:00:04","21/06/13","12:59:43.256",-20.744,40.13295,-105.1775,1542.79,1.7,0.7,0,0,"MakeBelieve","mb26",2021,"2021-06-13",0,"mb26-06-13",FALSE,40.13194,-105.17807,122.217516589109,FALSE,FALSE
"44",51,"Valid","6/6","21/06/13","13:10:04","21/06/13","13:09:43.232",-20.768,40.13264,-105.17803,1536.01,3.9,0.8,0,0,"MakeBelieve","mb26",2021,"2021-06-13",0,"mb26-06-13",FALSE,40.13194,-105.17807,77.8007519254614,FALSE,TRUE
"45",52,"Valid","8/8","21/06/13","13:20:05","21/06/13","13:19:44.206",-20.794,40.13283,-105.17788,1536.49,1.4,1.3,0,0,"MakeBelieve","mb26",2021,"2021-06-13",0,"mb26-06-13",FALSE,40.13194,-105.17807,100.141054521834,FALSE,FALSE
"46",53,"Valid","5/5","21/06/13","13:30:11","21/06/13","13:29:50.164",-20.836,40.13222,-105.17784,1401.01,1.5,1.1,0,0,"MakeBelieve","mb26",2021,"2021-06-13",0,"mb26-06-13",FALSE,40.13194,-105.17807,36.754306673739,TRUE,TRUE
"47",54,"Valid","6/6","21/06/13","13:40:11","21/06/13","13:39:49.600",-21.4,40.13299,-105.17751,1527.28,1.9,0.6,0,0,"MakeBelieve","mb26",2021,"2021-06-13",0,"mb26-06-13",FALSE,40.13194,-105.17807,125.980031835969,FALSE,FALSE
